title,projectname,builder,price,per_sqft,area,status,place,rating
2  BHK  Apartment,Kalyan Skyway 9,Kalyan Infra Projects,9016000,"6,830 / sq ft",1320,Under Construction,Manchirevula,0.0
3  BHK  Apartment,Vajram IXORA,Vajram Constructions,16500000,"6,499 / sq ft",2550,Under Construction,Gopanpally,0.0
3  BHK  Apartment,Mahaveer Palm Grove,Mahaveer Group,13200000,"7,800 / sq ft",1700,Under Construction,Begumpet,0.0
3  BHK  Apartment,Mahaveer Palm Grove,Mahaveer Group,13200000,"7,800 / sq ft",1700,Under Construction,Begumpet,0.0
4  BHK  Villa,Sri GREENTECH O2 Community,Sri Aditya Squares,22900000,"5,500 / sq ft",4164,Under Construction,Ramachandrapuram,0.0
3  BHK  Apartment,Kalyan Skyway 9,Kalyan Infra Projects,12900000,"6,659 / sq ft",1945,Under Construction,Manchirevula,0.0
4  BHK  Apartment,Mahaveer Crystal Garden,Mahaveer Group,35200000,"7,500 / sq ft",4706,Under Construction,Attapur,0.0
4  BHK  Villa,APR Praveens Hillside,APR Group,37100000,"12,000 / sq ft",3095,Under Construction,Bachupally,0.0
2  BHK  Apartment,Beams 4 Blocks,Beams And Columns Builders Private Limited,6970000,"5,599 / sq ft",1245,Under Construction,Kompally,0.0
2  BHK  Apartment,Parijatha Pride II,seller,3800000,"3,486 / sq ft",1090,Under Construction,Shamirpet,
2  BHK  Apartment,Beams 4 Blocks,Beams And Columns Builders Private Limited,7334000,"5,599 / sq ft",1310,Under Construction,Kompally,0.0
3  BHK  Apartment,Sukhii Ubuntu,Sukhii Group,14400000,"7,599 / sq ft",1905,Under Construction,Nanakramguda,0.0
4  BHK  Independent House,GSR Asteria Pride,GSR Group,40900000,"6,500 / sq ft",6300,Under Construction,Kollur,0.0
Residential Plot,Alekhya Amara County,Alekya Infraa Developers,4000000,"1,777 / sq ft",2250,New,Aroor,0.0
3  BHK  Apartment,Hallmark Treasor,Hallmark Builders,15000000,"8,499 / sq ft",1765,Under Construction,Gandipet,0.0
2  BHK  Apartment,Kalyan Skyway 9,Kalyan Infra Projects,9016000,"6,830 / sq ft",1320,Under Construction,Manchirevula,0.0
3  BHK  Apartment,IRA Miracle,Ira Reality,11399999,"5,299 / sq ft",2155,Under Construction,Kollur,0.0
2  BHK  Apartment,Beams 4 Blocks,Beams And Columns Builders Private Limited,7138000,"5,599 / sq ft",1275,Under Construction,Kompally,0.0
3  BHK  Apartment,Beams 4 Blocks,Beams And Columns Builders Private Limited,10400000,"5,599 / sq ft",1865,Under Construction,Kompally,0.0
3  BHK  Apartment,Mahaveer Palm Grove,Mahaveer Group,11700000,"7,800 / sq ft",1500,Under Construction,Begumpet,0.0
3  BHK  Apartment,Mahaveer Palm Grove,Mahaveer Group,11700000,"7,800 / sq ft",1500,Under Construction,Begumpet,0.0
4  BHK  Villa,Sri GREENTECH O2 Community,Sri Aditya Squares,22799999,"5,500 / sq ft",4161,Under Construction,Ramachandrapuram,0.0
3  BHK  Apartment,Kalyan Skyway 9,Kalyan Infra Projects,12900000,"6,659 / sq ft",1945,Under Construction,Manchirevula,0.0
4  BHK  Apartment,Mahaveer Crystal Garden,Mahaveer Group,35200000,"7,500 / sq ft",4706,Under Construction,Attapur,0.0
4  BHK  Villa,APR Praveens Hillside,APR Group,45800000,"12,000 / sq ft",3820,Under Construction,Bachupally,0.0
4  BHK  Villa,APR Praveens Hillside,APR Group,45800000,"12,000 / sq ft",3820,Under Construction,Bachupally,0.0
2  BHK  Apartment,Beams 4 Blocks,Beams And Columns Builders Private Limited,6970000,"5,599 / sq ft",1245,Under Construction,Kompally,0.0
3  BHK  Independent Floor,,seller,4700000,"4,351 / sq ft",1080,Ready to move,Malakpet,
3  BHK  Apartment,Vajram IXORA,Vajram Constructions,15500000,"6,499 / sq ft",2385,Under Construction,Gopanpally,0.0
3  BHK  Apartment,IRA Miracle,Ira Reality,13000000,"5,299 / sq ft",2455,Under Construction,Kollur,0.0
