title,projectname,builder,price,per_sqft,area,status,place,rating
Residential Plot,Akshita Golden Breeze 4,Narendra,3469000,"1,444 / sq ft",2403,New,Maheshwaram,0.0
2  BHK  Apartment,,Chakravarthy realtors,6900000,"5,750 / sq ft",1200,Under Construction,Kondapur,0.0
2  BHK  Apartment,,Sai Ram Property Consultants,7200000,"6,228 / sq ft",1156,Ready to move,Sainikpuri,0.0
Residential Plot,,Renva Group,2114000,"1,666 / sq ft",1269,New,Indresham,0.0
Residential Plot,SSL Peacock Estate,Siyora Developers,1102000,833 / sq ft,1323,New,Sadashivpet,0.0
2  BHK  Apartment,,Sundar Reddy,4135000,"3,800 / sq ft",1088,Under Construction,Indresham,0.0
Residential Plot,,Dream fortune,2768000,"1,774 / sq ft",1560,New,Ghatkesar,0.0
Residential Plot,,Ram,4000000,"26,666 / sq ft",150,New,Medchal,0.0
Residential Plot,Googee Pharma City,GOOGEE PROPERTIES,3095000,"1,433 / sq ft",2160,New,Maheshwaram,0.0
3  BHK  Apartment,,Venkateswara Rentals,10500000,"7,500 / sq ft",1400,Ready to move,Amberpet,0.0
2  BHK  Apartment,,Om Sri Sai Ram Rentals,3500000,"4,242 / sq ft",825,Ready to move,Tarnaka,0.0
2  BHK  Apartment,Ananda Poe Tree Extension,Green space and fortune green home,8339000,"6,400 / sq ft",1303,Ready to move,Narsingi,0.0
2  BHK  Apartment,,Chakravarthy realtors,6750000,"6,000 / sq ft",1125,Under Construction,Borabanda,0.0
2  BHK  Apartment,,Chakravarthy realtors,6750000,"6,000 / sq ft",1125,Under Construction,Borabanda,0.0
Residential Plot,SSL Peacock Estate,Siyora Developers,1102000,833 / sq ft,1323,New,Sadashivpet,0.0
Residential Plot,SSL Peacock Estate,Siyora Developers,1102000,833 / sq ft,1323,New,Sadashivpet,0.0
2  BHK  Apartment,Gangothri Nakshatra Pristine,Sundar Reddy,8300000,"6,613 / sq ft",1255,Ready to move,Narsingi,0.0
2  BHK  Apartment,Gangothri Nakshatra,Sundar Reddy,8300000,"6,613 / sq ft",1255,Ready to move,Manikonda,0.0
2  BHK  Apartment,,Venkateswara Rentals,6300000,"6,300 / sq ft",1000,Ready to move,Nallakunta,0.0
Residential Plot,Googee Pharma City,GOOGEE PROPERTIES,2579000,"1,433 / sq ft",1800,New,Maheshwaram,0.0
Residential Plot,Googee Pharma City,GOOGEE PROPERTIES,7738000,"1,433 / sq ft",5400,New,Maheshwaram,0.0
3  BHK  Apartment,,Om Sri Sai Ram Rentals,6000000,"4,878 / sq ft",1230,Ready to move,Tarnaka,0.0
Residential Plot,,Ramya,3477000,"2,111 / sq ft",1647,New,Kadthal,0.0
3  BHK  Apartment,Ananda Poe Tree Extension,Green space and fortune green home,9836000,"6,400 / sq ft",1537,Ready to move,Narsingi,0.0
3  BHK  Villa,,Chakravarthy realtors,20200000,"8,500 / sq ft",2384,Ready to move,Mokila,0.0
Residential Plot,SSL Peacock Estate,Siyora Developers,1102000,833 / sq ft,1323,New,Sadashivpet,0.0
3  BHK  Apartment,,Raghavendera Reddy,8482000,"5,301 / sq ft",1600,Ready to move,Manikonda,0.0
2  BHK  Apartment,,Sundar Reddy,4500000,"4,285 / sq ft",1050,Under Construction,Indresham,0.0
Residential Plot,,Chakravarthy realtors,7900000,876 / sq ft,9009,New,Pulimamidi,0.0
Residential Plot,Googee Pharma City,GOOGEE PROPERTIES,3869000,"1,433 / sq ft",2700,New,Maheshwaram,0.0
2  BHK  Apartment,,Narasimha,6000000,"5,000 / sq ft",1200,Ready to move,Miyapur,0.0
2  BHK  Apartment,,investment management company,4997000,"3,699 / sq ft",1351,Under Construction,Saidabad,0.0
3  BHK  Apartment,Ananda Poe Tree Extension,Green space and fortune green home,10200000,"6,400 / sq ft",1605,Ready to move,Narsingi,0.0
3  BHK  Apartment,Ananda Poe Tree Extension,Green space and fortune green home,9433000,"6,400 / sq ft",1474,Ready to move,Narsingi,0.0
3  BHK  Villa,,Chakravarthy realtors,20200000,"8,500 / sq ft",2384,Ready to move,Mokila,0.0
3  BHK  Apartment,,Raghavendera Reddy,7500000,"4,166 / sq ft",1800,Under Construction,Velimela,0.0
Residential Plot,,Chakravarthy realtors,7800000,864 / sq ft,9018,New,Pulimamidi,0.0
Residential Plot,Googee Pharma City,GOOGEE PROPERTIES,6448000,"1,433 / sq ft",4500,New,Maheshwaram,0.0
3  BHK  Apartment,,Narasimha,7650000,"5,100 / sq ft",1500,Ready to move,Miyapur,0.0
2  BHK  Apartment,,investment management company,5192000,"4,000 / sq ft",1298,Under Construction,Karmanghat,0.0
3  BHK  Apartment,Ananda Poe Tree Extension,Green space and fortune green home,9836000,"6,400 / sq ft",1537,Ready to move,Narsingi,0.0
3  BHK  Villa,,Chakravarthy realtors,20200000,"8,500 / sq ft",2384,Ready to move,Mokila,0.0
3  BHK  Independent House,,Ramya,9900000,"6,600 / sq ft",1500,Under Construction,Shadnagar,0.0
Residential Plot,,Chakravarthy realtors,7900000,"4,388 / sq ft",1800,New,Mokila,0.0
Residential Plot,,Chakravarthy realtors,7900000,"4,388 / sq ft",1800,New,Mokila,0.0
2  BHK  Apartment,,Venkateswara Rentals,5600000,"5,090 / sq ft",1100,Ready to move,Nallakunta,0.0
3  BHK  Independent House,,Nandi consultants,10000000,"6,666 / sq ft",1500,Ready to move,AS Rao Nagar,0.0
2  BHK  Apartment,,investment management company,3946000,"3,699 / sq ft",1067,Under Construction,Champapet,0.0
3  BHK  Apartment,Ananda Poe Tree Extension,Green space and fortune green home,9433000,"6,400 / sq ft",1474,Ready to move,Narsingi,0.0
3  BHK  Villa,,Chakravarthy realtors,23600000,"8,500 / sq ft",2780,Ready to move,Mokila,0.0
2  BHK  Independent House,,Ramya,5400000,"6,000 / sq ft",900,Under Construction,Shadnagar,0.0
Residential Plot,,Chakravarthy realtors,7700000,853 / sq ft,9018,New,Pulimamidi,0.0
3  BHK  Villa,,seller,17100000,"6,725 / sq ft",2550,Ready to move,Tukkuguda,
3  BHK  Apartment,,Om Sri Sai Ram Rentals,9200000,"6,814 / sq ft",1350,Ready to move,Habsiguda,0.0
3  BHK  Apartment,,investment management company,5848000,"3,699 / sq ft",1581,Under Construction,Champapet,0.0
3  BHK  Apartment,Ananda Poe Tree Extension,Green space and fortune green home,11600000,"6,400 / sq ft",1813,Ready to move,Narsingi,0.0
3  BHK  Villa,,Chakravarthy realtors,20200000,"8,500 / sq ft",2384,Ready to move,Mokila,0.0
Residential Plot,,Chakravarthy realtors,7700000,853 / sq ft,9018,New,Pulimamidi,0.0
4  BHK  Villa,,seller,28000000,"10,436 / sq ft",2683,Under Construction,Kollur,
4  BHK  Villa,,Chandramohan,20000000,"11,111 / sq ft",1800,Under Construction,Manikonda,0.0
2  BHK  Apartment,,investment management company,4047999,"4,000 / sq ft",1012,Under Construction,Karmanghat,0.0
3  BHK  Apartment,Ananda Poe Tree Extension,Green space and fortune green home,11600000,"6,400 / sq ft",1813,Ready to move,Narsingi,0.0
3  BHK  Villa,,Chakravarthy realtors,20200000,"8,500 / sq ft",2384,Ready to move,Mokila,0.0
3  BHK  Apartment,,Om Sri Sai Ram Rentals,11000000,"7,857 / sq ft",1400,Ready to move,Nacharam,0.0
3  BHK  Apartment,ASBL Spire,JLL,16500000,"8,661 / sq ft",1905,Under Construction,Kokapet,0.0
3  BHK  Apartment,,Chandramohan,10100000,"5,771 / sq ft",1750,Under Construction,Manikonda,0.0
2  BHK  Apartment,,investment management company,4260000,"3,992 / sq ft",1067,Under Construction,Saidabad,0.0
3  BHK  Apartment,Ananda Poe Tree Extension,Green space and fortune green home,9324000,"6,400 / sq ft",1457,Ready to move,Narsingi,0.0
3  BHK  Villa,,Chakravarthy realtors,20200000,"8,500 / sq ft",2384,Ready to move,Mokila,0.0
2  BHK  Apartment,,Om Sri Sai Ram Rentals,3750000,"4,687 / sq ft",800,Ready to move,Nacharam,0.0
2  BHK  Apartment,,Om Sri Sai Ram Rentals,3800000,"4,750 / sq ft",800,Ready to move,Tarnaka,0.0
3  BHK  Apartment,ASBL Spire,JLL,16500000,"8,661 / sq ft",1905,Under Construction,Kokapet,0.0
3  BHK  Apartment,ASBL Spire,JLL,18500000,"8,726 / sq ft",2120,Under Construction,Kokapet,0.0
1  RK  Studio Apartment,Stand Alone Apartment,Remax New Vision Realty,3000000,"8,219 / sq ft",365,Under Construction,Kondapur,0.0
3  BHK  Apartment,,Venkateswara Rentals,11100000,"7,400 / sq ft",1500,Ready to move,Nallakunta,0.0
3  BHK  Apartment,,investment management company,5848000,"3,699 / sq ft",1581,Under Construction,Karmanghat,0.0
2  BHK  Apartment,,investment management company,5063000,"3,699 / sq ft",1369,Under Construction,Champapet,0.0
3  BHK  Apartment,Ananda Poe Tree Extension,Green space and fortune green home,9324000,"6,400 / sq ft",1457,Ready to move,Narsingi,0.0
2  BHK  Apartment,Ananda Poe Tree Extension,Green space and fortune green home,8550000,"6,400 / sq ft",1336,Ready to move,Narsingi,0.0
3  BHK  Apartment,Svadha Mackennas,Magnify Properties,11500000,"5,299 / sq ft",2185,Under Construction,Kollur,0.0
3  BHK  Villa,,Chakravarthy realtors,20200000,"8,500 / sq ft",2384,Ready to move,Mokila,0.0
2  BHK  Apartment,,Om Sri Sai Ram Rentals,5800000,"5,345 / sq ft",1085,Ready to move,Nacharam,0.0
2  BHK  Apartment,,Om Sri Sai Ram Rentals,6500000,"5,803 / sq ft",1120,Ready to move,Nacharam,0.0
2  BHK  Apartment,Sri Sukhadah SS Harmony,Chandrahasa Reddy,4392000,"3,602 / sq ft",1220,Ready to move,Adibatla,0.0
3  BHK  Apartment,,investment management company,5178000,"3,699 / sq ft",1400,Under Construction,Saidabad,0.0
2  BHK  Apartment,,investment management company,3869000,"3,699 / sq ft",1046,Under Construction,Champapet,0.0
2  BHK  Apartment,Ananda Poe Tree Extension,Green space and fortune green home,8550000,"6,400 / sq ft",1336,Ready to move,Narsingi,0.0
3  BHK  Apartment,Svadha Mackennas,Magnify Properties,8610000,"5,299 / sq ft",1625,Under Construction,Kollur,0.0
Residential Plot,Akshita Golden Breeze,Sundar Reddy,3006000,"2,000 / sq ft",1503,Resale,Maheshwaram,0.0
Residential Plot,,Kumar,2684000,"1,222 / sq ft",2196,New,Ibrahimpatnam,0.0
2  BHK  Apartment,,Om Sri Sai Ram Rentals,6500000,"5,803 / sq ft",1120,Ready to move,Nacharam,0.0
2  BHK  Apartment,Sri Sukhadah SS Harmony,Chandrahasa Reddy,4392000,"3,602 / sq ft",1220,Ready to move,Adibatla,0.0
2  BHK  Apartment,,Bharath,5062000,"3,900 / sq ft",1298,Under Construction,Champapet,0.0
2  BHK  Apartment,,Raghavendera Reddy,7905000,"5,200 / sq ft",1520,Under Construction,Velimela,0.0
2  BHK  Apartment,Ananda Poe Tree Extension,Green space and fortune green home,8953000,"6,400 / sq ft",1399,Ready to move,Narsingi,0.0
3  BHK  Apartment,Svadha Mackennas,Magnify Properties,10800000,"5,299 / sq ft",2055,Under Construction,Kollur,0.0
Residential Plot,,Sundar Reddy,4500000,"3,333 / sq ft",1350,Resale,Balapur,0.0
Residential Plot,,Kumar,1870000,"1,222 / sq ft",1530,New,Yacharam,0.0
3  BHK  Apartment,,Raghavendera Reddy,7800000,"4,333 / sq ft",1800,Under Construction,Velimela,0.0
2  BHK  Apartment,Sri Sukhadah SS Harmony,Chandrahasa Reddy,4392000,"3,602 / sq ft",1220,Ready to move,Adibatla,0.0
2  BHK  Apartment,Krithika Sheshadris Silver Oak,Bharath,4450000,"3,702 / sq ft",1202,Under Construction,Uppal Kalan,0.0
4  BHK  Villa,,Raghavendera Reddy,22500000,"5,800 / sq ft",3885,Under Construction,Velimela,0.0
2  BHK  Apartment,Ananda Poe Tree Extension,Green space and fortune green home,8953000,"6,400 / sq ft",1399,Ready to move,Narsingi,0.0
3  BHK  Apartment,Svadha Mackennas,Magnify Properties,13400000,"5,299 / sq ft",2530,Under Construction,Kollur,0.0
Residential Plot,Akshita Golden Breeze,Sundar Reddy,3760000,"1,777 / sq ft",2115,Resale,Maheshwaram,0.0
Residential Plot,,Kumar,2013000,"1,222 / sq ft",1647,New,Ibrahimpatnam,0.0
Residential Plot,,Kumar,2255000,"1,222 / sq ft",1845,New,Yacharam,0.0
4  BHK  Villa,,Raghavendera Reddy,19800000,"6,061 / sq ft",3275,Under Construction,Velimela,0.0
2  BHK  Apartment,Sri Sukhadah SS Harmony,Chandrahasa Reddy,4392000,"3,602 / sq ft",1220,Ready to move,Adibatla,0.0
2  BHK  Apartment,,Bharath,4100000,"3,618 / sq ft",1133,Under Construction,Karmanghat,0.0
3  BHK  Apartment,,Bharath,5475000,"3,900 / sq ft",1404,Under Construction,Santoshnagar,0.0
3  BHK  Apartment,,Raghavendera Reddy,7766000,"5,500 / sq ft",1412,Under Construction,Manikonda,0.0
Residential Plot,,Ram,3300000,"22,000 / sq ft",150,New,Rudraram,0.0
3  BHK  Apartment,Svadha Mackennas,Magnify Properties,9670000,"5,299 / sq ft",1825,Under Construction,Kollur,0.0
Residential Plot,,Sundar Reddy,13000000,"6,146 / sq ft",2115,Resale,Kismatpur,0.0
Residential Plot,,Kumar,1914000,"1,222 / sq ft",1566,New,Yacharam,0.0
Residential Plot,,Kumar,2665000,"1,444 / sq ft",1845,New,Ibrahimpatnam,0.0
4  BHK  Villa,,Raghavendera Reddy,22500000,"5,800 / sq ft",3885,Under Construction,Velimela,0.0
3  BHK  Apartment,,Raghavendera Reddy,7766000,"5,500 / sq ft",1412,Under Construction,Manikonda,0.0
Residential Plot,,Om Sri Sai Ram Rentals,11900000,997 / sq ft,11997,New,HMT Colony,0.0
Residential Plot,Rohit The Botanical Eco Living Spaces,Naveen Associates,1750000,"3,500 / sq ft",500,New,Aroor,0.0
2  BHK  Apartment,,Bharath,4700000,"3,939 / sq ft",1193,Under Construction,Kapra,0.0
2  BHK  Apartment,,Raghavendera Reddy,7905000,"5,200 / sq ft",1520,Under Construction,Velimela,0.0
Residential Plot,Fortune Grand Extension 2 189 2021 H,Dream fortune,2242000,"1,055 / sq ft",2124,New,Kadthal,0.0
4  BHK  Apartment,Niharika Interlake,Ajay infra,33700000,"13,267 / sq ft",2540,Ready to move,Manikonda,0.0
2  BHK  Apartment,,Ajay infra,6200000,"6,200 / sq ft",1000,Ready to move,Kondapur,0.0
Residential Plot,,Sundar Reddy,9200000,"3,396 / sq ft",2709,Resale,Balapur,0.0
Residential Plot,,Kumar,2626000,"1,444 / sq ft",1818,New,Yacharam,0.0
3  BHK  Apartment,,Raghavendera Reddy,5498000,"3,871 / sq ft",1420,Under Construction,Velimela,0.0
2  BHK  Apartment,Reputed Builder Victoria Apartment,BASUNDHARA REALTORS,4550000,"5,000 / sq ft",910,Under Construction,West Marredpally,0.0
2  BHK  Apartment,,Bharath,4700000,"3,923 / sq ft",1198,Under Construction,Champapet,0.0
4  BHK  Villa,,Raghavendera Reddy,22599999,"5,820 / sq ft",3885,Under Construction,Kollur,0.0
Residential Plot,,Dream fortune,1232000,888 / sq ft,1386,Resale,Wangapalli,0.0
3  BHK  Apartment,,Ajay infra,12800000,"5,818 / sq ft",2200,Ready to move,Khajaguda Nanakramguda Road,0.0
Residential Plot,,Kumar,2197000,"1,444 / sq ft",1521,New,Ibrahimpatnam,0.0
3  BHK  Apartment,,Raghavendera Reddy,8482000,"5,301 / sq ft",1600,Ready to move,Manikonda,0.0
1  BHK  Apartment,Swaraj Homes Sheetal Avenue,H K homes,3000000,"4,687 / sq ft",640,Ready to move,Kompally,0.0
2  BHK  Apartment,,Bharath,4447000,"3,700 / sq ft",1202,Under Construction,Boduppal,0.0
4  BHK  Villa,Sri GREENTECH O2 Community,Sathya,25299999,"5,500 / sq ft",4614,Under Construction,Ramachandrapuram,0.0
2  BHK  Apartment,,seller,5900000,"5,086 / sq ft",1160,Under Construction,Bachupally,
3  BHK  Apartment,Aliens Space Station Township,Fudosan Developers and Agency,11700000,"5,500 / sq ft",2132,Under Construction,Tellapur,4.3
2  BHK  Apartment,,Ajay infra,7500000,"6,000 / sq ft",1250,Ready to move,Khajaguda Nanakramguda Road,0.0
4  BHK  Villa,Lanco Hanging Gardens Villas,Ajay infra,120000000,"21,818 / sq ft",5500,Ready to move,Manikonda,0.0
Residential Plot,,Kumar,3120000,"1,444 / sq ft",2160,New,Yacharam,0.0
4  BHK  Villa,,Remax New Vision Realty,48000000,"14,892 / sq ft",3223,Ready to move,Tellapur,0.0
2  BHK  Apartment,My Home Mangala,Ajay infra,13500000,"10,408 / sq ft",1297,Ready to move,Kondapur,0.0
2  BHK  Apartment,,Bharath,4184000,"4,000 / sq ft",1046,Under Construction,Champapet,0.0
2  BHK  Apartment,,Bharath,4182000,"3,999 / sq ft",1046,Under Construction,Karmanghat,0.0
4  BHK  Villa,Sri GREENTECH O2 Community,Sathya,22900000,"5,500 / sq ft",4164,Under Construction,Ramachandrapuram,0.0
3  BHK  Apartment,,seller,7400000,"4,774 / sq ft",1550,Under Construction,Bachupally,
3  BHK  Apartment,Prestige Ivy League,Space Link Infra Consultants,21500000,"12,370 / sq ft",1738,Ready to move,Hitech City,0.0
3  BHK  Apartment,,Ajay infra,19200000,"10,294 / sq ft",1865,Ready to move,Shaikpet,0.0
Residential Plot,,Kumar,2327000,"1,444 / sq ft",1611,New,Yacharam,0.0
Residential Plot,,Kumar,2210000,"1,444 / sq ft",1530,New,Ibrahimpatnam,0.0
2  BHK  Apartment,,Venkateswara Rentals,6300000,"6,631 / sq ft",950,Ready to move,Nallakunta,0.0
2  BHK  Apartment,,Bharath,4078000,"3,899 / sq ft",1046,Under Construction,Champapet,0.0
3  BHK  Apartment,,Om Sri Sai Ram Rentals,11000000,"6,340 / sq ft",1735,Ready to move,Nacharam,0.0
Residential Plot,,Kumar,2990000,"1,444 / sq ft",2070,New,Yacharam,0.0
4  BHK  Villa,Sri GREENTECH O2 Community,Sathya,22900000,"5,500 / sq ft",4164,Under Construction,Ramachandrapuram,0.0
4  BHK  Villa,Sri GREENTECH O2 Community,Sathya,22799999,"5,500 / sq ft",4161,Under Construction,Ramachandrapuram,0.0
2  BHK  Apartment,,seller,6200000,"5,254 / sq ft",1180,Under Construction,Bachupally,
3  BHK  Apartment,Prestige Ivy League,Space Link Infra Consultants,21500000,"12,370 / sq ft",1738,Ready to move,Hitech City,0.0
2  BHK  Apartment,,Om Sri Sai Ram Rentals,12000000,"10,000 / sq ft",1200,Ready to move,Habsiguda,0.0
2  BHK  Apartment,,Shalini,5063000,"4,100 / sq ft",1235,Under Construction,Kompally,0.0
3  BHK  Apartment,SV DD Colony,Venkateswara Rentals,13899999,"8,967 / sq ft",1550,Ready to move,Nallakunta,0.0
Residential Plot,,Futureland,1600000,"1,184 / sq ft",1351,New,Abdullapurmet,0.0
Residential Plot,,Futureland,1300000,"1,203 / sq ft",1080,New,Ramoji Film city,0.0
Residential Plot,,Kumar,3379999,"1,444 / sq ft",2340,New,Yacharam,0.0
Residential Plot,,Kumar,2100000,"1,333 / sq ft",1575,New,Bhuvanagiri,0.0
4  BHK  Villa,Sri GREENTECH O2 Community,Sathya,22799999,"5,500 / sq ft",4161,Under Construction,Ramachandrapuram,0.0
Residential Plot,,Futureland,1998999,"1,111 / sq ft",1800,New,Taramatipet,0.0
2  BHK  Apartment,Akshita Heights 4,Akshita Infra Projects LlP,5824000,"5,004 / sq ft",1165,Under Construction,Kompally,0.0
3  BHK  Apartment,Prestige Ivy League,Space Link Infra Consultants,21000000,"12,082 / sq ft",1738,Ready to move,Hitech City,0.0
3  BHK  Apartment,Prestige Ivy League,Space Link Infra Consultants,21000000,"12,082 / sq ft",1738,Ready to move,Hitech City,0.0
Residential Plot,,Sai Ram Property Consultants,18000000,"6,666 / sq ft",2700,Resale,AS Rao Nagar,0.0
2  BHK  Apartment,,Shalini,5063000,"4,100 / sq ft",1235,Under Construction,Kompally,0.0
2  BHK  Apartment,,Venkateswara Rentals,6200000,"6,200 / sq ft",1000,Ready to move,Nallakunta,0.0
3  BHK  Apartment,,ramu,7500000,"5,016 / sq ft",1495,Ready to move,Miyapur,0.0
Residential Plot,,Kumar,2220000,"1,333 / sq ft",1665,New,Bhuvanagiri,0.0
Residential Plot,,Kumar,2280000,"1,333 / sq ft",1710,New,Choutuppal,0.0
Residential Plot,,Futureland,1100000,"1,061 / sq ft",1036,New,Gowrelly,0.0
10  BHK  Independent House,,Sai Ram Property Consultants,30000000,"5,102 / sq ft",5880,Ready to move,Nagaram,0.0
Residential Plot,,Futureland,1200000,"1,094 / sq ft",1096,New,Taramatipet,0.0
3  BHK  Apartment,Akshita Heights 4,Akshita Infra Projects LlP,7798999,"5,002 / sq ft",1560,Under Construction,Kompally,0.0
3  BHK  Apartment,Akshita Heights 4,Akshita Infra Projects LlP,7798999,"5,002 / sq ft",1560,Under Construction,Kompally,0.0
Residential Plot,,Renva Group,2429000,"1,666 / sq ft",1458,New,Indresham,0.0
Residential Plot,,Renva Group,2294000,"1,666 / sq ft",1377,New,Indresham,0.0
Residential Plot,,Futureland,1950000,"1,083 / sq ft",1800,New,Ramoji Film city,0.0
Residential Plot,,Futureland,2675000,"1,769 / sq ft",1512,New,Gowrelly,0.0
2  BHK  Apartment,,Shalini,5063000,"4,100 / sq ft",1235,Under Construction,Kompally,0.0
2  BHK  Apartment,Svadha Mackennas,Magnify Properties,7630000,"5,299 / sq ft",1440,Under Construction,Kollur,0.0
2  BHK  Apartment,Svadha Mackennas,Magnify Properties,8106999,"5,299 / sq ft",1530,Under Construction,Kollur,0.0
Residential Plot,,Kumar,2340000,"1,333 / sq ft",1755,New,Bhuvanagiri,0.0
Residential Plot,,Kumar,2364000,"1,333 / sq ft",1773,New,Bhuvanagiri,0.0
3  BHK  Apartment,Prestige Ivy League,Space Link Infra Consultants,20900000,"12,079 / sq ft",1738,Ready to move,Hitech City,0.0
3  BHK  Apartment,Haritha Patel Pooja Heights,Ajay infra,11600000,"7,581 / sq ft",1530,Ready to move,Kondapur,0.0
2  BHK  Apartment,Akshita Heights 4,Akshita Infra Projects LlP,5824000,"5,004 / sq ft",1165,Under Construction,Kompally,0.0
2  BHK  Apartment,Akshita Heights 4,Akshita Infra Projects LlP,5824000,"5,004 / sq ft",1165,Under Construction,Kompally,0.0
Residential Plot,,Renva Group,2864000,"1,666 / sq ft",1719,New,Indresham,0.0
Residential Plot,,Futureland,3100000,"1,877 / sq ft",1651,New,kuntloor,0.0
2  BHK  Apartment,,Shalini,4510000,"4,100 / sq ft",1100,Ready to move,Kompally,0.0
2  BHK  Apartment,Svadha Mackennas,Magnify Properties,7259000,"5,299 / sq ft",1370,Under Construction,Kollur,0.0
Residential Plot,,Kumar,2400000,"1,333 / sq ft",1800,New,Choutuppal,0.0
3  BHK  Apartment,Prestige Ivy League,Space Link Infra Consultants,21400000,"12,367 / sq ft",1738,Ready to move,Hitech City,0.0
3  BHK  Independent Floor,,Om Sri Sai Ram Rentals,12500000,"12,626 / sq ft",990,Ready to move,Tarnaka,0.0
Residential Plot,,Kumar,1920000,"1,333 / sq ft",1440,New,Bhuvanagiri,0.0
3  BHK  Apartment,Swaraj Homes Pragati Elegance,seller,4000000,"3,439 / sq ft",1163,Under Construction,Kukatpally,
Residential Plot,Alekhya Amara County,Ganesh,2850000,"1,583 / sq ft",1800,New,Aroor,0.0
Residential Plot,,Renva Group,2699000,"1,666 / sq ft",1620,New,Indresham,0.0
Residential Plot,,Futureland,3610000,"2,003 / sq ft",1802,New,Gowrelly,0.0
Residential Plot,,Futureland,2023999,"1,495 / sq ft",1353,New,Sadashivpet,0.0
2  BHK  Apartment,Thimu Green Space,Shalini,4510000,"4,100 / sq ft",1100,Under Construction,Kompally,0.0
2  BHK  Apartment,,Shalini,4879000,"4,100 / sq ft",1190,Ready to move,Kompally,0.0
3  BHK  Apartment,Svadha Mackennas,Magnify Properties,9061000,"5,299 / sq ft",1710,Under Construction,Kollur,0.0
2  BHK  Apartment,Svadha Mackennas,Magnify Properties,8610000,"5,299 / sq ft",1625,Under Construction,Kollur,0.0
Residential Plot,,Kumar,2460000,"1,333 / sq ft",1845,New,Choutuppal,0.0
3  BHK  Apartment,Prestige Ivy League,Space Link Infra Consultants,21400000,"12,369 / sq ft",1738,Ready to move,Hitech City,0.0
2  BHK  Apartment,Lakshmi Cadillac,Ajay infra,11500000,"9,069 / sq ft",1268,Ready to move,Kondapur,0.0
Residential Plot,Alekhya NSR County Phase II,Ganesh,3000000,"1,666 / sq ft",1800,New,Sangareddy,0.0
3  BHK  Apartment,Aliens Space Station Township,Fudosan Developers and Agency,10000000,"4,700 / sq ft",2132,Under Construction,Tellapur,4.3
Residential Plot,,Kumar,2039999,"1,333 / sq ft",1530,New,Bhuvanagiri,0.0
Residential Plot,,Kumar,2580000,"1,333 / sq ft",1935,New,Choutuppal,0.0
Residential Plot,,Space Link Infra Consultants,5600000,"28,000 / sq ft",200,New,Shankarpally Road,0.0
Residential Plot,Alekhya Amara County,Ganesh,2930000,"1,627 / sq ft",1800,New,Aroor,0.0
Residential Plot,,Renva Group,2414000,"1,666 / sq ft",1449,Resale,Indresham,0.0
10  BHK  Independent House,,Sai Ram Property Consultants,30000000,"4,000 / sq ft",7500,Under Construction,Nagaram,0.0
2  BHK  Apartment,,Shalini,4879000,"4,100 / sq ft",1190,Ready to move,Kompally,0.0
2  BHK  Apartment,Svadha Mackennas,Magnify Properties,7153000,"5,299 / sq ft",1350,Under Construction,Kollur,0.0
Residential Plot,,Kumar,2520000,"1,333 / sq ft",1890,New,Choutuppal,0.0
Residential Plot,,Kumar,1814999,"1,222 / sq ft",1485,New,Yacharam,0.0
3  BHK  Apartment,SMR Vinay Technopolis,Ajay infra,18500000,"7,551 / sq ft",2450,Ready to move,Hitech City,0.0
Residential Plot,,Renva Group,2144000,"1,666 / sq ft",1287,New,Indresham,0.0
Residential Plot,,Futureland,1837000,"1,391 / sq ft",1320,New,Sadashivpet,0.0
Residential Plot,,Kumar,2616000,"1,333 / sq ft",1962,New,Choutuppal,0.0
Residential Plot,,Kumar,2640000,"1,333 / sq ft",1980,New,Choutuppal,0.0
Residential Plot,,Space Link Infra Consultants,8400000,"28,000 / sq ft",300,New,Shankarpally Road,0.0
2  BHK  Apartment,,Sai Ram Property Consultants,7000000,"6,055 / sq ft",1156,Ready to move,Sainikpuri,0.0
Residential Plot,Alekhya Amara County,Ganesh,2950000,"1,638 / sq ft",1800,New,Aroor,0.0
Residential Plot,,Renva Group,2249000,"1,666 / sq ft",1350,New,Indresham,0.0
Residential Plot,,Sai Ram Property Consultants,4550000,"3,963 / sq ft",1148,New,Rampally,0.0
2  BHK  Independent House,,Mahesh,5800000,"6,823 / sq ft",850,Ready to move,Munganoor,0.0
2  BHK  Apartment,,Shalini,4879000,"4,100 / sq ft",1190,Ready to move,Kompally,0.0
Residential Plot,,Kumar,2035000,"1,222 / sq ft",1665,New,Yacharam,0.0
3  BHK  Apartment,,seller,12900000,"7,543 / sq ft",1710,Under Construction,Hitech City,
3  BHK  Villa,Lakshmi Srinivasa Bhavnas GLC Cribs,seller,14900000,"7,837 / sq ft",1901,Ready to move,Bahadurpally,
Residential Plot,,Futureland,1650000,"1,222 / sq ft",1350,New,Ramoji Film city,0.0
Residential Plot,,Kumar,2700000,"1,333 / sq ft",2025,New,Choutuppal,0.0
Residential Plot,Renva Fortune Fields,Renva Group,3900000,"1,666 / sq ft",2340,New,Indresham,0.0
2  BHK  Apartment,Airawatham Apartment,Sai Ram Property Consultants,5600000,"5,600 / sq ft",1000,Ready to move,Sainikpuri,0.0
2  BHK  Apartment,ASBL Springs,Ajay infra,6200000,"5,123 / sq ft",1210,Under Construction,Pocharam,0.0
